Key,Player,Time,Opp,Price,LW_Price,Change,Name,Team,Pos
Josh Allen-BUF,Josh Allen (BUF - QB) ,Sun 4:25PM,@KC,9200,9000,200,Josh Allen,BUF,QB
Lamar Jackson-BAL,Lamar Jackson (BAL - QB) ,Sun 1:00PM,@NYG,8800,8700,100,Lamar Jackson,BAL,QB
Patrick Mahomes-KC,Patrick Mahomes II (KC - QB) ,Sun 4:25PM,BUF,8600,8500,100,Patrick Mahomes,KC,QB
Jalen Hurts-PHI,Jalen Hurts (PHI - QB) ,Sun 8:20PM,DAL,8600,8600,0,Jalen Hurts,PHI,QB
Kyler Murray-ARI,Kyler Murray (ARI - QB) ,Sun 4:05PM,@SEA,8300,8100,200,Kyler Murray,ARI,QB
Justin Herbert-LAC,Justin Herbert (LAC - QB) ,Mon 8:15PM,DEN,8200,8200,0,Justin Herbert,LAC,QB
Joe Burrow-CIN,Joe Burrow (CIN - QB) ,Sun 1:00PM,@NO,8000,7800,200,Joe Burrow,CIN,QB
Kirk Cousins-MIN,Kirk Cousins (MIN - QB) ,Sun 1:00PM,@MIA,7600,7100,500,Kirk Cousins,MIN,QB
Russell Wilson-DEN,Russell Wilson (DEN - QB) ,Mon 8:15PM,@LAC,7500,7500,0,Russell Wilson,DEN,QB
Dak Prescott-DAL,Dak Prescott (DAL - QB) ,Sun 8:20PM,@PHI,7500,7500,0,Dak Prescott,DAL,QB
Tom Brady-TB,Tom Brady (TB - QB) ,Sun 1:00PM,@PIT,7500,7800,-300,Tom Brady,TB,QB
Aaron Rodgers-GB,Aaron Rodgers (GB - QB) ,Sun 1:00PM,NYJ,7500,7300,200,Aaron Rodgers,GB,QB
Geno Smith-SEA,Geno Smith (SEA - QB) ,Sun 4:05PM,ARI,7400,6900,500,Geno Smith,SEA,QB
Carson Wentz-WAS,Carson Wentz (WAS - QB) ,Thu 8:15PM,@CHI,7300,6800,500,Carson Wentz,WAS,QB
Matthew Stafford-LAR,Matthew Stafford (LAR - QB) ,Sun 4:05PM,CAR,7200,7400,-200,Matthew Stafford,LAR,QB
Jimmy Garoppolo-SF,Jimmy Garoppolo (SF - QB) ,Sun 1:00PM,@ATL,7100,7000,100,Jimmy Garoppolo,SF,QB
Trevor Lawrence-JAX,Trevor Lawrence (JAC - QB) ,Sun 1:00PM,@IND,7100,7600,-500,Trevor Lawrence,JAX,QB
Jameis Winston-NO,Jameis Winston (NO - QB) ,Sun 1:00PM,CIN,7000,7300,-300,Jameis Winston,NO,QB
Tua Tagovailoa-MIA,Tua Tagovailoa (MIA - QB) ,Sun 1:00PM,MIN,7000,7000,0,Tua Tagovailoa,MIA,QB
Matt Ryan-IND,Matt Ryan (IND - QB) ,Sun 1:00PM,JAC,6900,6600,300,Matt Ryan,IND,QB
Marcus Mariota-ATL,Marcus Mariota (ATL - QB) ,Sun 1:00PM,SF,6800,6800,0,Marcus Mariota,ATL,QB
Daniel Jones-NYG,Daniel Jones (NYG - QB) ,Sun 1:00PM,BAL,6800,6800,0,Daniel Jones,NYG,QB
Zach Wilson-NYJ,Zach Wilson (NYJ - QB) ,Sun 1:00PM,@GB,6700,7200,-500,Zach Wilson,NYJ,QB
Jacoby Brissett-CLE,Jacoby Brissett (CLE - QB) ,Sun 1:00PM,NE,6600,6700,-100,Jacoby Brissett,CLE,QB
Mac Jones-NE,Mac Jones (NE - QB) ,Sun 1:00PM,@CLE,6600,6600,0,Mac Jones,NE,QB
Justin Fields-CHI,Justin Fields (CHI - QB) ,Thu 8:15PM,WAS,6600,6600,0,Justin Fields,CHI,QB
Teddy Bridgewater-MIA,Teddy Bridgewater (MIA - QB) ,Sun 1:00PM,MIN,6500,6400,100,Teddy Bridgewater,MIA,QB
Cooper Rush-DAL,Cooper Rush (DAL - QB) ,Sun 8:20PM,@PHI,6500,6500,0,Cooper Rush,DAL,QB
Tyler Huntley-BAL,Tyler Huntley (BAL - QB) ,Sun 1:00PM,@NYG,6500,6100,400,Tyler Huntley,BAL,QB
Kenny Pickett-PIT,Kenny Pickett (PIT - QB) ,Sun 1:00PM,TB,6500,6500,0,Kenny Pickett,PIT,QB
Andy Dalton-NO,Andy Dalton (NO - QB) ,Sun 1:00PM,CIN,6400,6500,-100,Andy Dalton,NO,QB
Baker Mayfield-CAR,Baker Mayfield (CAR - QB) ,Sun 4:05PM,@LAR,6400,6400,0,Baker Mayfield,CAR,QB
Bailey Zappe-NE,Bailey Zappe (NE - QB) ,Sun 1:00PM,@CLE,6300,6300,0,Bailey Zappe,NE,QB
PJ Walker-CAR,PJ Walker (CAR - QB) ,Sun 4:05PM,@LAR,6300,6000,300,PJ Walker,CAR,QB
Skylar Thompson-MIA,Skylar Thompson (MIA - QB) ,Sun 1:00PM,MIN,6300,6100,200,Skylar Thompson,MIA,QB
Brian Hoyer-NE,Brian Hoyer (NE - QB) ,Sun 1:00PM,@CLE,6300,6300,0,Brian Hoyer,NE,QB
Tyrod Taylor-NYG,Tyrod Taylor (NYG - QB) ,Sun 1:00PM,BAL,6200,6400,-200,Tyrod Taylor,NYG,QB
Mitch Trubisky-PIT,Mitch Trubisky (PIT - QB) ,Sun 1:00PM,TB,6200,6500,-300,Mitch Trubisky,PIT,QB
Nick Chubb-CLE,Nick Chubb (CLE - RB) ,Sun 1:00PM,NE,9500,9400,100,Nick Chubb,CLE,RB
